market,day_of_wk,slot,time_of_day,capacity,unused_capacity
Atlanta GA,0,1300,AM,6,0
Atlanta GA,0,1300,PM,0,0
Atlanta GA,0,1500,AM,5,0
Atlanta GA,0,1500,PM,0,0
Atlanta GA,0,1700,AM,32,0
Atlanta GA,0,1700,PM,26,0
Atlanta GA,0,1900,AM,31,0
Atlanta GA,0,1900,PM,26,0
Atlanta GA,1,1300,AM,4,0
Atlanta GA,1,1300,PM,0,0
Atlanta GA,1,1500,AM,3,0
Atlanta GA,1,1500,PM,0,0
Atlanta GA,1,1700,AM,26,0
Atlanta GA,1,1700,PM,22,0
Atlanta GA,1,1900,AM,25,0
Atlanta GA,1,1900,PM,22,0
Atlanta GA,2,1300,AM,4,0
Atlanta GA,2,1300,PM,0,0
Atlanta GA,2,1500,AM,3,0
Atlanta GA,2,1500,PM,0,0
Atlanta GA,2,1700,AM,16,0
Atlanta GA,2,1700,PM,12,0
Atlanta GA,2,1900,AM,15,0
Atlanta GA,2,1900,PM,12,0
Atlanta GA,3,1300,AM,6,0
Atlanta GA,3,1300,PM,0,0
Atlanta GA,3,1500,AM,5,0
Atlanta GA,3,1500,PM,0,0
Atlanta GA,3,1700,AM,18,0
Atlanta GA,3,1700,PM,12,0
Atlanta GA,3,1900,AM,18,0
Atlanta GA,3,1900,PM,13,0
Atlanta GA,4,1300,AM,3,0
Atlanta GA,4,1300,PM,0,0
Atlanta GA,4,1500,AM,2,0
Atlanta GA,4,1500,PM,0,0
Atlanta GA,4,1700,AM,27,0
Atlanta GA,4,1700,PM,24,0
Atlanta GA,4,1900,AM,26,0
Atlanta GA,4,1900,PM,24,0
Atlanta GA,5,1300,AM,2,0
Atlanta GA,5,1300,PM,0,0
Atlanta GA,5,1500,AM,1,0
Atlanta GA,5,1500,PM,0,0
Atlanta GA,5,1700,AM,26,0
Atlanta GA,5,1700,PM,24,0
Atlanta GA,5,1900,AM,25,0
Atlanta GA,5,1900,PM,24,0
Atlanta GA,6,1300,AM,4,0
Atlanta GA,6,1300,PM,0,0
Atlanta GA,6,1500,AM,3,0
Atlanta GA,6,1500,PM,0,0
Atlanta GA,6,1700,AM,31,0
Atlanta GA,6,1700,PM,27,0
Atlanta GA,6,1900,AM,30,0
Atlanta GA,6,1900,PM,27,0
Nashville TN,0,1300,AM,4,0
Nashville TN,0,1300,PM,0,0
Nashville TN,0,1500,AM,3,0
Nashville TN,0,1500,PM,0,0
Nashville TN,0,1700,AM,16,0
Nashville TN,0,1700,PM,12,0
Nashville TN,0,1900,AM,15,0
Nashville TN,0,1900,PM,12,0
Nashville TN,1,1300,AM,3,0
Nashville TN,1,1300,PM,0,0
Nashville TN,1,1500,AM,2,0
Nashville TN,1,1500,PM,0,0
Nashville TN,1,1700,AM,14,0
Nashville TN,1,1700,PM,11,0
Nashville TN,1,1900,AM,13,0
Nashville TN,1,1900,PM,11,0
Nashville TN,2,1300,AM,3,0
Nashville TN,2,1300,PM,0,0
Nashville TN,2,1500,AM,2,0
Nashville TN,2,1500,PM,0,0
Nashville TN,2,1700,AM,10,0
Nashville TN,2,1700,PM,7,0
Nashville TN,2,1900,AM,9,0
Nashville TN,2,1900,PM,7,0
Nashville TN,3,1300,AM,3,0
Nashville TN,3,1300,PM,0,0
Nashville TN,3,1500,AM,2,0
Nashville TN,3,1500,PM,0,0
Nashville TN,3,1700,AM,7,0
Nashville TN,3,1700,PM,4,0
Nashville TN,3,1900,AM,6,0
Nashville TN,3,1900,PM,4,0
Nashville TN,4,1300,AM,2,0
Nashville TN,4,1300,PM,0,0
Nashville TN,4,1500,AM,1,0
Nashville TN,4,1500,PM,0,0
Nashville TN,4,1700,AM,14,0
Nashville TN,4,1700,PM,12,0
Nashville TN,4,1900,AM,13,0
Nashville TN,4,1900,PM,12,0
Nashville TN,5,1300,AM,3,0
Nashville TN,5,1300,PM,0,0
Nashville TN,5,1500,AM,2,0
Nashville TN,5,1500,PM,0,0
Nashville TN,5,1700,AM,16,0
Nashville TN,5,1700,PM,13,0
Nashville TN,5,1900,AM,15,0
Nashville TN,5,1900,PM,13,0
Nashville TN,6,1300,AM,4,0
Nashville TN,6,1300,PM,0,0
Nashville TN,6,1500,AM,3,0
Nashville TN,6,1500,PM,0,0
Nashville TN,6,1700,AM,16,0
Nashville TN,6,1700,PM,12,0
Nashville TN,6,1900,AM,15,0
Nashville TN,6,1900,PM,12,0
