market,day_of_wk,slot,time_of_day,capacity,capacity_remaining
Atlanta GA,0,1300,AM,12,12
Atlanta GA,0,1300,PM,0,0
Atlanta GA,0,1500,AM,10,10
Atlanta GA,0,1500,PM,0,0
Atlanta GA,0,1700,AM,64,64
Atlanta GA,0,1700,PM,52,52
Atlanta GA,0,1900,AM,62,62
Atlanta GA,0,1900,PM,52,52
Atlanta GA,1,1300,AM,8,8
Atlanta GA,1,1300,PM,0,0
Atlanta GA,1,1500,AM,6,6
Atlanta GA,1,1500,PM,0,0
Atlanta GA,1,1700,AM,52,52
Atlanta GA,1,1700,PM,44,44
Atlanta GA,1,1900,AM,50,50
Atlanta GA,1,1900,PM,44,44
Atlanta GA,2,1300,AM,8,8
Atlanta GA,2,1300,PM,0,0
Atlanta GA,2,1500,AM,6,6
Atlanta GA,2,1500,PM,0,0
Atlanta GA,2,1700,AM,32,32
Atlanta GA,2,1700,PM,24,24
Atlanta GA,2,1900,AM,30,30
Atlanta GA,2,1900,PM,24,24
Atlanta GA,3,1300,AM,12,12
Atlanta GA,3,1300,PM,0,0
Atlanta GA,3,1500,AM,10,10
Atlanta GA,3,1500,PM,0,0
Atlanta GA,3,1700,AM,36,36
Atlanta GA,3,1700,PM,24,24
Atlanta GA,3,1900,AM,36,36
Atlanta GA,3,1900,PM,26,26
Atlanta GA,4,1300,AM,6,6
Atlanta GA,4,1300,PM,0,0
Atlanta GA,4,1500,AM,4,4
Atlanta GA,4,1500,PM,0,0
Atlanta GA,4,1700,AM,54,54
Atlanta GA,4,1700,PM,48,48
Atlanta GA,4,1900,AM,52,52
Atlanta GA,4,1900,PM,48,48
Atlanta GA,5,1300,AM,4,4
Atlanta GA,5,1300,PM,0,0
Atlanta GA,5,1500,AM,2,2
Atlanta GA,5,1500,PM,0,0
Atlanta GA,5,1700,AM,52,52
Atlanta GA,5,1700,PM,48,48
Atlanta GA,5,1900,AM,50,50
Atlanta GA,5,1900,PM,48,48
Atlanta GA,6,1300,AM,8,8
Atlanta GA,6,1300,PM,0,0
Atlanta GA,6,1500,AM,6,6
Atlanta GA,6,1500,PM,0,0
Atlanta GA,6,1700,AM,62,62
Atlanta GA,6,1700,PM,54,54
Atlanta GA,6,1900,AM,60,60
Atlanta GA,6,1900,PM,54,54
Nashville TN,0,1300,AM,8,8
Nashville TN,0,1300,PM,0,0
Nashville TN,0,1500,AM,6,6
Nashville TN,0,1500,PM,0,0
Nashville TN,0,1700,AM,32,32
Nashville TN,0,1700,PM,24,24
Nashville TN,0,1900,AM,30,30
Nashville TN,0,1900,PM,24,24
Nashville TN,1,1300,AM,6,6
Nashville TN,1,1300,PM,0,0
Nashville TN,1,1500,AM,4,4
Nashville TN,1,1500,PM,0,0
Nashville TN,1,1700,AM,28,28
Nashville TN,1,1700,PM,22,22
Nashville TN,1,1900,AM,26,26
Nashville TN,1,1900,PM,22,22
Nashville TN,2,1300,AM,6,6
Nashville TN,2,1300,PM,0,0
Nashville TN,2,1500,AM,4,4
Nashville TN,2,1500,PM,0,0
Nashville TN,2,1700,AM,20,20
Nashville TN,2,1700,PM,14,14
Nashville TN,2,1900,AM,18,18
Nashville TN,2,1900,PM,14,14
Nashville TN,3,1300,AM,6,6
Nashville TN,3,1300,PM,0,0
Nashville TN,3,1500,AM,4,4
Nashville TN,3,1500,PM,0,0
Nashville TN,3,1700,AM,14,14
Nashville TN,3,1700,PM,8,8
Nashville TN,3,1900,AM,12,12
Nashville TN,3,1900,PM,8,8
Nashville TN,4,1300,AM,4,4
Nashville TN,4,1300,PM,0,0
Nashville TN,4,1500,AM,2,2
Nashville TN,4,1500,PM,0,0
Nashville TN,4,1700,AM,28,28
Nashville TN,4,1700,PM,24,24
Nashville TN,4,1900,AM,26,26
Nashville TN,4,1900,PM,24,24
Nashville TN,5,1300,AM,6,6
Nashville TN,5,1300,PM,0,0
Nashville TN,5,1500,AM,4,4
Nashville TN,5,1500,PM,0,0
Nashville TN,5,1700,AM,32,32
Nashville TN,5,1700,PM,26,26
Nashville TN,5,1900,AM,30,30
Nashville TN,5,1900,PM,26,26
Nashville TN,6,1300,AM,8,8
Nashville TN,6,1300,PM,0,0
Nashville TN,6,1500,AM,6,6
Nashville TN,6,1500,PM,0,0
Nashville TN,6,1700,AM,32,32
Nashville TN,6,1700,PM,24,24
Nashville TN,6,1900,AM,30,30
Nashville TN,6,1900,PM,24,24
